"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71477997303009","1.60267996788025","0.322580009698868","1.81633996963501","3.32155990600586","2.17652010917664","1.64076995849609","0.96917998790741","0.812430024147034","0.469060003757477","3.34173011779785","0.909619987010956","","","","0.0779099985957146","","","","","","","",
"Africa Eastern and Southern","AFE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","73.1777877807617","","","","","","","","","","","","","","","","","","","73.234001159668","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","54.8013801574707","57.4607810974121","","","","","","","","","","","","","","","54.6533088684082","","","","","","","","","","17.5530891418457","18.7406997680664","18.0908107757568","18.4007301330566","","","","","","","","","","",
"Albania","ALB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20645999908447","4.61665010452271","6.13449001312256","","8.30128955841064","9.0765495300293","","","","11.1017303466797","12.94225025177","12.3639898300171","10.9724397659302","7.7792501449585","4.58102989196777","2.40795993804932","2.20127010345459","2.34457993507385","2.22159004211426","2.55779004096985","2.10688996315002","3.84192991256714","",
"Andorra","AND","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","43.547981262207","43.5074501037598","42.2209815979004","41.1782188415527","40.5141792297363","39.2398109436035","37.7184715270996","36.9096412658691","36.2765007019043","34.7023811340332","33.5920104980469","33.2072906494141","32.7513694763184","32.0900688171387","30.8487091064453","30.2644290924072","29.3318901062012","28.2273902893066","27.4625205993652","27.3715000152588","27.0210704803467","26.3950996398926","28.9726295471191","28.5150108337402","26.3198890686035","27.1419506072998","25.0448093414307","24.6106090545654","24.3185405731201","22.7712898254395","21.8820095062256","20.748420715332","19.8469295501709","19.2784194946289","18.7690200805664","18.0578308105469","18.0095100402832","16.8626003265381","15.9602499008179","15.7537498474121","14.6645698547363","15.0109100341797","14.8919095993042","15.7356395721436","15.9679203033447","15.7450199127197","15.5550603866577","14.9659996032715","14.0360803604126","14.0177803039551","13.9068698883057","",
"United Arab Emirates","ARE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","20.3150100708008","","23.8477096557617","26.7974300384521","21.7630004882813","26.3372898101807","26.5152893066406","26.8782691955566","26.1327495574951","15.1498098373413","11.7571897506714","6.99893999099731","3.09319996833801","2.57186007499695","6.01188993453979","9.56661987304688","11.5845403671265","11.1096601486206","13.9453201293945","17.5471496582031","17.0093193054199","","","","","","","","","5.52489995956421","","","","","6.01802015304565","6.70878982543945","2.34757995605469","0.10792999714613","0.598110020160675","1.25688004493713","","0.21781000494957","0.236279994249344","",
"Argentina","ARG","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","4.87265014648438","","","","3.37747001647949","3.67225003242493","","","","","","","","","","","","4.54244995117188","","","","3.82410001754761","","","","","","0","0.26570001244545","0.165470004081726","0.43163999915123","0.365260004997253","0.328449994325638","0.337709993124008","0.639660000801086","0.441430002450943","0.266629993915558","0.12831999361515","0.182769998908043","0.207190006971359","0.603730022907257","0.565900027751923","0.57175999879837","0.408089995384216","0.0980399996042252","0.0562999993562698","0.452389985322952","0.432689994573593","0.403450012207031","0.42247000336647","","",
"Armenia","ARM","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.868800163269","14.4695701599121","","11.3866701126099","7.78235006332397","2.92042994499207","","","","4.84613990783691","3.58823990821838","3.41190004348755","5.87311983108521","5.11267995834351","6.02191019058228","6.16014003753662","6.90522003173828","8.87942028045654","10.4773101806641","",
"American Samoa","ASM","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
